"Timepoint","Population","Generation_Time","Net_Growth_Rate","combi_tag","Location","Station_Number","Depth"
"9","c_LNA","-168.842145742275","-0.00178290790098983","PE477_5_1","PE477",5,1
"12","c_LNA","-70.5923953370053","-0.00426434029086099","PE477_5_1","PE477",5,1
"24","c_LNA","-351.585730697854","-0.000856206521995282","PE477_5_1","PE477",5,1
"3","c_Bacteria","-1222.50338759703","-0.000246240622903828","PE477_6_1","PE477",6,1
"6","c_Bacteria","-43.2036239536056","-0.00696770243133406","PE477_6_1","PE477",6,1
"9","c_Bacteria","-140.804088749049","-0.00213793504392123","PE477_6_1","PE477",6,1
"12","c_Bacteria","-282.029657740807","-0.00106736999957868","PE477_6_1","PE477",6,1
"24","c_Bacteria","510.239093408256","0.000589978305372832","PE477_6_1","PE477",6,1
"3","c_HNA","-134.361248833481","-0.0022404524986001","PE477_6_1","PE477",6,1
"6","c_HNA","-83.5869394006124","-0.00360139990556683","PE477_6_1","PE477",6,1
"9","c_HNA","-137.546658249389","-0.00218856640717643","PE477_6_1","PE477",6,1
"12","c_HNA","-319.010124489375","-0.000943637748632028","PE477_6_1","PE477",6,1
"24","c_HNA","214.426225031546","0.00140388609471482","PE477_6_1","PE477",6,1
"3","c_LNA","153.914966688513","0.00195582016577501","PE477_6_1","PE477",6,1
"6","c_LNA","-27.5291030701796","-0.0109349728865693","PE477_6_1","PE477",6,1
"9","c_LNA","-144.637417961087","-0.0020812732964092","PE477_6_1","PE477",6,1
"12","c_LNA","-249.507338014062","-0.00120649756460076","PE477_6_1","PE477",6,1
"24","c_LNA","-818.917288180832","-0.000367595116147441","PE477_6_1","PE477",6,1
"3","c_Bacteria","-803.943643206475","-0.000374441664173602","PE486_1_1","PE486",1,1
"6","c_Bacteria","-114.833029951761","-0.00262145826675862","PE486_1_1","PE486",1,1
"9","c_Bacteria","-183.179861847333","-0.00164335747733491","PE486_1_1","PE486",1,1
"12","c_Bacteria","-281.548682185712","-0.00106919341027288","PE486_1_1","PE486",1,1
"24","c_Bacteria","-596.10792596913","-0.000504992439371749","PE486_1_1","PE486",1,1
"3","c_HNA","-35398.1299007979","-8.50412144685808e-06","PE486_1_1","PE486",1,1
"6","c_HNA","-124.086479956312","-0.00242596933823867","PE486_1_1","PE486",1,1
"9","c_HNA","512.109241079454","0.000587823791325138","PE486_1_1","PE486",1,1
"12","c_HNA","453.686212270803","0.00066352026471614","PE486_1_1","PE486",1,1
"24","c_HNA","988.513739366816","0.000304527882290025","PE486_1_1","PE486",1,1
"3","c_LNA","-400.360481001436","-0.00075189737736129","PE486_1_1","PE486",1,1
"6","c_LNA","-106.629653173907","-0.00282313584170644","PE486_1_1","PE486",1,1
"9","c_LNA","-74.2938683884361","-0.0040518821027072","PE486_1_1","PE486",1,1
"12","c_LNA","-102.290153460063","-0.0029429029626152","PE486_1_1","PE486",1,1
"24","c_LNA","-218.53977961733","-0.0013774608732154","PE486_1_1","PE486",1,1
"3","c_Bacteria","183.654314910915","0.0016391120230962","PE486_2_1","PE486",2,1
"6","c_Bacteria","-88.7583279659578","-0.00339156902301534","PE486_2_1","PE486",2,1
"9","c_Bacteria","200.882682277102","0.00149853632105897","PE486_2_1","PE486",2,1
"12","c_Bacteria","-193.769690257873","-0.00155354532106318","PE486_2_1","PE486",2,1
"24","c_Bacteria","-348.812319214626","-0.000863014231669814","PE486_2_1","PE486",2,1
"3","c_HNA","59.863064151559","0.00502864328664895","PE486_2_1","PE486",2,1
"6","c_HNA","-164.466953028383","-0.00183033728126551","PE486_2_1","PE486",2,1
"9","c_HNA","2068.33657482068","0.000145542074403426","PE486_2_1","PE486",2,1
"12","c_HNA","-344.964484181789","-0.000872640545527437","PE486_2_1","PE486",2,1
"24","c_HNA","-5135.68822895012","-5.86153174110407e-05","PE486_2_1","PE486",2,1
"3","c_LNA","-182.01002059896","-0.00165391990327409","PE486_2_1","PE486",2,1
"6","c_LNA","-61.3649676359291","-0.00490556757806753","PE486_2_1","PE486",2,1
"9","c_LNA","109.51169528678","0.00274883878726992","PE486_2_1","PE486",2,1
"12","c_LNA","-136.086783704451","-0.0022120443107668","PE486_2_1","PE486",2,1
"24","c_LNA","-181.206028425619","-0.00166125817269677","PE486_2_1","PE486",2,1
"3","c_Bacteria","-91.2269875715662","-0.00329979103418068","PE486_3_1","PE486",3,1
"6","c_Bacteria","-1751.0622417549","-0.000171912790125717","PE486_3_1","PE486",3,1
"9","c_Bacteria","186.038339804341","0.00161810729971348","PE486_3_1","PE486",3,1
"12","c_Bacteria","1069.35400181247","0.000281506400269503","PE486_3_1","PE486",3,1
"24","c_Bacteria","195.827306261909","0.00153722175630283","PE486_3_1","PE486",3,1
"3","c_HNA","-56.2394968877748","-0.00535264382369339","PE486_3_1","PE486",3,1
"6","c_HNA","-136.476401549329","-0.00220572928540448","PE486_3_1","PE486",3,1
"9","c_HNA","2121.14003554377","0.000141918963679744","PE486_3_1","PE486",3,1
"12","c_HNA","293.969662718977","0.00102401721619742","PE486_3_1","PE486",3,1
"24","c_HNA","145.5274399728","0.00206854456946573","PE486_3_1","PE486",3,1
"3","c_LNA","-146.675956901519","-0.00205234724233678","PE486_3_1","PE486",3,1
"6","c_LNA","286.600163524002","0.00105034830393176","PE486_3_1","PE486",3,1
"9","c_LNA","120.243570920159","0.0025035017952342","PE486_3_1","PE486",3,1
"12","c_LNA","-1649.15013797492","-0.000182536440274398","PE486_3_1","PE486",3,1
"24","c_LNA","250.286263923464","0.00120274277519297","PE486_3_1","PE486",3,1
"3","c_Bacteria","186.731920729864","0.00161209714165313","PE486_4_1","PE486",4,1
"6","c_Bacteria","-89.9842748510353","-0.00334536224426229","PE486_4_1","PE486",4,1
"9","c_Bacteria","230.485658888931","0.00130606822617561","PE486_4_1","PE486",4,1
"12","c_Bacteria","-532.777176462491","-0.000565020441871652","PE486_4_1","PE486",4,1
"24","c_Bacteria","710.121371334949","0.000423913443272494","PE486_4_1","PE486",4,1
"3","c_HNA","-112.803295616226","-0.00266862766747626","PE486_4_1","PE486",4,1
"6","c_HNA","-43.5251821056391","-0.00691622598920677","PE486_4_1","PE486",4,1
"9","c_HNA","2459.45163630303","0.00012239720075027","PE486_4_1","PE486",4,1
"12","c_HNA","-684.998737646612","-0.000439460657545437","PE486_4_1","PE486",4,1
"24","c_HNA","256.061994348772","0.00117561372756461","PE486_4_1","PE486",4,1
"3","c_LNA","60.7596670851494","0.00495443787146037","PE486_4_1","PE486",4,1
"6","c_LNA","-497.629126522215","-0.00060492840876863","PE486_4_1","PE486",4,1
"9","c_LNA","134.726504326534","0.00223437843332138","PE486_4_1","PE486",4,1
"12","c_LNA","-452.006749197128","-0.000665985621229515","PE486_4_1","PE486",4,1
"24","c_LNA","-1489.88830128655","-0.000202048700834828","PE486_4_1","PE486",4,1
"3","c_Bacteria","-51.533451768984","-0.00584144832784424","PE486_5_1","PE486",5,1
"6","c_Bacteria","-638.024652193746","-0.000471815618140881","PE486_5_1","PE486",5,1
"9","c_Bacteria","-264.549417459406","-0.00113789702715996","PE486_5_1","PE486",5,1
"12","c_Bacteria",NA,NA,"PE486_5_1","PE486",5,1
"24","c_Bacteria","-161.692178414018","-0.00186174741794362","PE486_5_1","PE486",5,1
"3","c_HNA","-18.2265573788147","-0.016516009546261","PE486_5_1","PE486",5,1
"6","c_HNA","-1343.6269111392","-0.000224042844905951","PE486_5_1","PE486",5,1
"9","c_HNA","-150.494770163303","-0.00200026881556962","PE486_5_1","PE486",5,1
"12","c_HNA",NA,NA,"PE486_5_1","PE486",5,1
"24","c_HNA","-98.7048298096741","-0.00304980005785361","PE486_5_1","PE486",5,1
"3","c_LNA","2549.22869279034","0.000118086696778153","PE486_5_1","PE486",5,1
"6","c_LNA","-486.5503539329","-0.000618702654783191","PE486_5_1","PE486",5,1
"9","c_LNA","-473.90942570061","-0.000635205757342702","PE486_5_1","PE486",5,1
"12","c_LNA",NA,NA,"PE486_5_1","PE486",5,1
"24","c_LNA","-255.701806865817","-0.00117726972426893","PE486_5_1","PE486",5,1
"3","c_Bacteria","-118.117659066677","-0.00254856046117595","PE486_6_1","PE486",6,1
"6","c_Bacteria","-40.3806384446425","-0.00745481020753706","PE486_6_1","PE486",6,1
"9","c_Bacteria","584.511758453914","0.000515011017845451","PE486_6_1","PE486",6,1
"12","c_Bacteria","-1496.75162367537","-0.000201122210861444","PE486_6_1","PE486",6,1
"24","c_Bacteria","6142.48573865204","4.90078460857638e-05","PE486_6_1","PE486",6,1
"3","c_HNA","-42.4334736233298","-0.00709416340354671","PE486_6_1","PE486",6,1
"6","c_HNA","-57.5339511940054","-0.00523221488211208","PE486_6_1","PE486",6,1
"9","c_HNA","-6315.62880150105","-4.76642952151837e-05","PE486_6_1","PE486",6,1
"12","c_HNA","-150.024710621549","-0.00200653608606761","PE486_6_1","PE486",6,1
"24","c_HNA","-927.564837085274","-0.000324537955330383","PE486_6_1","PE486",6,1
"3","c_LNA","292.212935971549","0.00103017340646848","PE486_6_1","PE486",6,1
"6","c_LNA","-32.3486425428569","-0.00930579993473177","PE486_6_1","PE486",6,1
"9","c_LNA","311.675619538589","0.000965843899210389","PE486_6_1","PE486",6,1
"12","c_LNA","251.390150670599","0.00119746137571804","PE486_6_1","PE486",6,1
"24","c_LNA","870.245696781459","0.000345913799720384","PE486_6_1","PE486",6,1
"3","c_Bacteria","-39.900251290063","-0.00754456390451237","PE486_7_1","PE486",7,1
"6","c_Bacteria","-193.103340376773","-0.00155890620574781","PE486_7_1","PE486",7,1
"9","c_Bacteria","-471.661046860597","-0.000638233743633609","PE486_7_1","PE486",7,1
"12","c_Bacteria","-510.617287954757","-0.000589541331179254","PE486_7_1","PE486",7,1
"24","c_Bacteria","546.731436857443","0.000550599390066648","PE486_7_1","PE486",7,1
"3","c_HNA","-38.1090841794272","-0.00789916635746633","PE486_7_1","PE486",7,1
"6","c_HNA","-58.0133103319132","-0.00518898152754414","PE486_7_1","PE486",7,1
"9","c_HNA","198.577095178877","0.00151593513538313","PE486_7_1","PE486",7,1
"12","c_HNA","-179.733254900221","-0.00167487088480703","PE486_7_1","PE486",7,1
"24","c_HNA","380.717991833271","0.00079069022773112","PE486_7_1","PE486",7,1
"3","c_LNA","-41.7161409336769","-0.00721615156451244","PE486_7_1","PE486",7,1
"6","c_LNA","181.84147046588","0.00165545293322112","PE486_7_1","PE486",7,1
"9","c_LNA","-110.35140056624","-0.00272792183986175","PE486_7_1","PE486",7,1
"12","c_LNA","772.511265101903","0.000389677159755436","PE486_7_1","PE486",7,1
"24","c_LNA","926.73605147859","0.000324828191569429","PE486_7_1","PE486",7,1
