"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"VI210623.122","Viruses",2020-09-18,2021-06-23,"PE477",3,1,"VP",24,1,217352.941176471,121971.996245307,95380.9449311639,3010147.05882353,2032359.72720989,841472.274206329,136315.057407314,13.8491204330176,1.27878787878788
"VI210623.170","Viruses",2020-09-18,2021-06-23,"PE477",3,1,"VPC",24,1,176176.470588235,91404.15904496,84772.3115432752,2848823.52941176,1889379.64365151,819351.900052056,140091.985708201,16.1702838063439,1.07823129251701
"VI210623.078","Viruses",2020-09-18,2021-06-23,"PE477",3,1,"0.22",24,2,8235.29411764706,2745.09803921569,5490.19607843137,9714705.88235294,5954569.30252907,3429165.31415829,330971.265665575,1179.64285714286,0.5
"VI210623.123","Viruses",2020-09-18,2021-06-23,"PE477",3,1,"VP",24,2,207352.941176471,115516.958872686,91835.982303785,3212500,2199648.1398476,880953.608247423,131898.251904975,15.4929078014184,1.25786163522013
"VI210623.171","Viruses",2020-09-18,2021-06-23,"PE477",3,1,"VPC",24,2,195000,90422.2222222222,104577.777777778,2795000,1818568.28193833,838414.0969163,138017.621145374,14.3333333333333,0.864640883977901
"VI210623.079","Viruses",2020-09-18,2021-06-23,"PE477",3,1,"0.22",24,3,15000,2307.69230769231,12692.3076923077,10167647.0588235,6213853.56172053,3588289.84466163,365503.652441369,677.843137254902,0.181818181818182
"VI210623.124","Viruses",2020-09-18,2021-06-23,"PE477",3,1,"VP",24,3,210882.352941176,115840.854149879,95041.4987912973,3199852.94117647,2199178.9877398,861011.545546944,139662.407889722,15.173640167364,1.21884498480243
"VI210623.172","Viruses",2020-09-18,2021-06-23,"PE477",3,1,"VPC",24,3,174411.764705882,88503.1599416626,85908.6047642198,2796764.70588235,1841792.83180458,818383.692987792,136588.181089985,16.035413153457,1.03020134228188
"vi201214.070","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"0.22",0,1,63670.2477526859,4228.1023898268,59442.1453628591,1984170.13812761,1812563.60651936,153619.444725793,17987.0868824504,31.1632231404959,0.0711297071129707
"vi201214.073","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"0.22",0,1,225213.768910327,114677.815663534,110535.953246793,3544617.40846306,2645007.89589939,834471.446096242,65138.0664674282,15.7389018691589,1.03747072599532
"vi201214.036","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",0,1,232185.924139443,98620.7771428404,133565.146996603,3602170.57662793,2849778.94558376,713369.285434087,39022.3456100877,15.514164305949,0.738372093023256
"VI210623.007","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",0,1,180882.352941176,99856.1885321952,81026.1644089813,2439117.64705882,1595115.4895987,758544.438164298,85457.7192958271,13.4845528455285,1.23239436619718
"vi201214.074","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"0.22",0,2,223635.167726376,110782.235864455,112852.931861921,3405174.30388073,2551621.32296105,786523.967418043,67029.0135016334,15.2264705882353,0.981651376146789
"vi201214.037","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",0,2,216399.912299934,94109.4003311542,122290.51196878,2897456.69809252,2256193.45508087,608984.891853348,32278.3511583047,13.3893617021277,0.769556025369979
"VI210623.008","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",0,2,186176.470588235,97085.8895705521,89090.5810176832,2017058.82352941,1306158.53102757,645265.6132181,65634.6792837433,10.8341232227488,1.08974358974359
"vi201214.075","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"0.22",0,3,212848.059636045,111467.209845851,101380.849790194,3507257.18044289,2650804.68518996,792601.912982829,63850.5822701042,16.4777503090235,1.09948979591837
"vi201214.038","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",0,3,216268.362201272,92944.9805276236,123323.381673648,2880355.18526639,2244424.39414321,603406.569567229,32524.2215559518,13.3184306569343,0.753668763102725
"VI210623.009","Viruses",2020-09-19,2021-06-23,"PE477",4,1,"VPC",0,3,195588.235294118,100367.647058824,95220.5882352941,2317941.17647059,1498870.60561728,738590.46598201,80480.1048713009,11.8511278195489,1.05405405405405
"vi201214.039","Viruses",2020-09-19,2020-12-14,"PE477",4,1,"VP",3,1,214689.761017321,93191.6421995715,121498.118817749,2758013.5935102,2178236.93842003,551097.35661436,28679.2984758046,12.8465073529412,0.767021276595744
