"file_name","pop","count"
vi201123.034.1,V3,98
vi201123.035.1,root,6765
vi201123.035.1,Bacteria,661
vi201123.035.1,HNA_Bacteria,342
vi201123.035.1,LNA_Bacteria,312
vi201123.035.1,Viruses,4733
vi201123.035.1,V1,4316
vi201123.035.1,V2,267
vi201123.035.1,V3,109
vi201123.037.1,root,840
vi201123.037.1,Bacteria,3
vi201123.037.1,HNA_Bacteria,1
vi201123.037.1,LNA_Bacteria,2
vi201123.037.1,Viruses,594
vi201123.037.1,V1,583
vi201123.037.1,V2,1
vi201123.037.1,V3,1
vi201123.038.1,root,1560
vi201123.038.1,Bacteria,8
vi201123.038.1,HNA_Bacteria,1
vi201123.038.1,LNA_Bacteria,7
vi201123.038.1,Viruses,869
vi201123.038.1,V1,854
vi201123.038.1,V2,2
vi201123.038.1,V3,0
vi201123.039.1,root,1455
vi201123.039.1,Bacteria,7
vi201123.039.1,HNA_Bacteria,2
vi201123.039.1,LNA_Bacteria,5
vi201123.039.1,Viruses,889
vi201123.039.1,V1,871
vi201123.039.1,V2,1
vi201123.039.1,V3,0
vi201123.040.1,root,990
vi201123.040.1,Bacteria,1
vi201123.040.1,HNA_Bacteria,0
vi201123.040.1,LNA_Bacteria,1
vi201123.040.1,Viruses,513
vi201123.040.1,V1,507
vi201123.040.1,V2,1
vi201123.040.1,V3,1
vi201123.041.1,root,1320
vi201123.041.1,Bacteria,5
vi201123.041.1,HNA_Bacteria,2
vi201123.041.1,LNA_Bacteria,3
vi201123.041.1,Viruses,843
vi201123.041.1,V1,831
vi201123.041.1,V2,0
vi201123.041.1,V3,1
vi201123.042.1,root,12780
vi201123.042.1,Bacteria,677
vi201123.042.1,HNA_Bacteria,385
vi201123.042.1,LNA_Bacteria,289
vi201123.042.1,Viruses,10937
vi201123.042.1,V1,10556
vi201123.042.1,V2,271
vi201123.042.1,V3,81
vi201123.043.1,root,8250
vi201123.043.1,Bacteria,700
vi201123.043.1,HNA_Bacteria,384
vi201123.043.1,LNA_Bacteria,312
vi201123.043.1,Viruses,6376
vi201123.043.1,V1,5919
vi201123.043.1,V2,312
vi201123.043.1,V3,99
vi201123.044.1,root,7290
vi201123.044.1,Bacteria,655
vi201123.044.1,HNA_Bacteria,379
vi201123.044.1,LNA_Bacteria,272
vi201123.044.1,Viruses,5783
vi201123.044.1,V1,5448
vi201123.044.1,V2,219
vi201123.044.1,V3,93
vi201123.045.1,root,14130
vi201123.045.1,Bacteria,795
vi201123.045.1,HNA_Bacteria,423
vi201123.045.1,LNA_Bacteria,364
vi201123.045.1,Viruses,11980
vi201123.045.1,V1,11369
vi201123.045.1,V2,414
vi201123.045.1,V3,135
vi201123.046.1,root,8505
vi201123.046.1,Bacteria,712
vi201123.046.1,HNA_Bacteria,399
vi201123.046.1,LNA_Bacteria,308
vi201123.046.1,Viruses,6900
vi201123.046.1,V1,6455
vi201123.046.1,V2,315
vi201123.046.1,V3,90
vi201123.047.1,root,7650
vi201123.047.1,Bacteria,710
vi201123.047.1,HNA_Bacteria,413
vi201123.047.1,LNA_Bacteria,294
vi201123.047.1,Viruses,5957
vi201123.047.1,V1,5568
vi201123.047.1,V2,262
vi201123.047.1,V3,93
vi201123.048.1,root,870
vi201123.048.1,Bacteria,5
vi201123.048.1,HNA_Bacteria,2
vi201123.048.1,LNA_Bacteria,3
vi201123.048.1,Viruses,573
vi201123.048.1,V1,567
vi201123.048.1,V2,0
vi201123.048.1,V3,0
vi201123.049.1,root,1185
vi201123.049.1,Bacteria,17
vi201123.049.1,HNA_Bacteria,0
vi201123.049.1,LNA_Bacteria,17
vi201123.049.1,Viruses,612
vi201123.049.1,V1,603
vi201123.049.1,V2,3
vi201123.049.1,V3,0
vi201123.050.1,root,1665
vi201123.050.1,Bacteria,7
vi201123.050.1,HNA_Bacteria,2
vi201123.050.1,LNA_Bacteria,5
vi201123.050.1,Viruses,1243
vi201123.050.1,V1,1216
vi201123.050.1,V2,22
vi201123.050.1,V3,0
vi201123.051.1,root,1005
vi201123.051.1,Bacteria,20
vi201123.051.1,HNA_Bacteria,7
vi201123.051.1,LNA_Bacteria,13
vi201123.051.1,Viruses,629
vi201123.051.1,V1,616
vi201123.051.1,V2,0
vi201123.051.1,V3,0
vi201123.052.1,root,840
vi201123.052.1,Bacteria,3
vi201123.052.1,HNA_Bacteria,2
vi201123.052.1,LNA_Bacteria,1
vi201123.052.1,Viruses,490
vi201123.052.1,V1,481
vi201123.052.1,V2,1
vi201123.052.1,V3,0
vi201123.053.1,root,11685
vi201123.053.1,Bacteria,530
vi201123.053.1,HNA_Bacteria,339
vi201123.053.1,LNA_Bacteria,184
vi201123.053.1,Viruses,9960
vi201123.053.1,V1,9459
vi201123.053.1,V2,365
vi201123.053.1,V3,93
vi201123.054.1,root,7560
vi201123.054.1,Bacteria,536
vi201123.054.1,HNA_Bacteria,317
vi201123.054.1,LNA_Bacteria,215
vi201123.054.1,Viruses,6090
vi201123.054.1,V1,5615
vi201123.054.1,V2,343
vi201123.054.1,V3,82
vi201123.055.1,root,6780
vi201123.055.1,Bacteria,563
vi201123.055.1,HNA_Bacteria,329
vi201123.055.1,LNA_Bacteria,227
vi201123.055.1,Viruses,5174
vi201123.055.1,V1,4741
vi201123.055.1,V2,298
vi201123.055.1,V3,96
vi201123.056.1,root,12045
vi201123.056.1,Bacteria,575
vi201123.056.1,HNA_Bacteria,360
vi201123.056.1,LNA_Bacteria,203
vi201123.056.1,Viruses,10462
vi201123.056.1,V1,9864
vi201123.056.1,V2,425
vi201123.056.1,V3,98
vi201123.057.1,root,14280
vi201123.057.1,Bacteria,755
vi201123.057.1,HNA_Bacteria,397
vi201123.057.1,LNA_Bacteria,350
vi201123.057.1,Viruses,7694
vi201123.057.1,V1,7093
vi201123.057.1,V2,411
vi201123.057.1,V3,90
vi201123.058.1,root,8940
vi201123.058.1,Bacteria,571
vi201123.058.1,HNA_Bacteria,357
vi201123.058.1,LNA_Bacteria,204
vi201123.058.1,Viruses,7345
vi201123.058.1,V1,6865
vi201123.058.1,V2,355
vi201123.058.1,V3,85
vi201123.059.1,root,13080
vi201123.059.1,Bacteria,655
vi201123.059.1,HNA_Bacteria,334
vi201123.059.1,LNA_Bacteria,313
vi201123.059.1,Viruses,7692
vi201123.059.1,V1,7117
vi201123.059.1,V2,410
vi201123.059.1,V3,87
vi201123.060.1,root,9705
vi201123.060.1,Bacteria,607
vi201123.060.1,HNA_Bacteria,381
vi201123.060.1,LNA_Bacteria,216
vi201123.060.1,Viruses,7243
vi201123.060.1,V1,6740
vi201123.060.1,V2,356
vi201123.060.1,V3,118
vi201123.061.1,root,900
vi201123.061.1,Bacteria,7
vi201123.061.1,HNA_Bacteria,4
vi201123.061.1,LNA_Bacteria,3
vi201123.061.1,Viruses,544
vi201123.061.1,V1,538
vi201123.061.1,V2,1
vi201123.061.1,V3,0
vi201123.062.1,root,1410
vi201123.062.1,Bacteria,6
vi201123.062.1,HNA_Bacteria,2
vi201123.062.1,LNA_Bacteria,3
vi201123.062.1,Viruses,912
vi201123.062.1,V1,895
vi201123.062.1,V2,5
vi201123.062.1,V3,0
vi201123.063.1,root,840
vi201123.063.1,Bacteria,3
vi201123.063.1,HNA_Bacteria,0
vi201123.063.1,LNA_Bacteria,3
vi201123.063.1,Viruses,510
vi201123.063.1,V1,501
vi201123.063.1,V2,3
vi201123.063.1,V3,0
vi201123.064.1,root,840
vi201123.064.1,Bacteria,2
vi201123.064.1,HNA_Bacteria,0
vi201123.064.1,LNA_Bacteria,2
vi201123.064.1,Viruses,558
vi201123.064.1,V1,552
vi201123.064.1,V2,1
vi201123.064.1,V3,0
vi201123.065.1,root,1020
vi201123.065.1,Bacteria,3
vi201123.065.1,HNA_Bacteria,0
vi201123.065.1,LNA_Bacteria,3
vi201123.065.1,Viruses,533
vi201123.065.1,V1,526
vi201123.065.1,V2,2
vi201123.065.1,V3,0
vi201123.066.1,root,990
vi201123.066.1,Bacteria,3
vi201123.066.1,HNA_Bacteria,0
vi201123.066.1,LNA_Bacteria,3
vi201123.066.1,Viruses,677
vi201123.066.1,V1,662
vi201123.066.1,V2,7
vi201123.066.1,V3,0
